Destino,DataHora,Min,Média,Max,Perda (%)
google.com,2025-04-04_14-17-09,68.386,69.403,69.903,0.0
cloudflare.com,2025-04-04_14-17-09,21.171,23.566,30.173,0.0
github.com,2025-04-04_14-17-09,64.918,65.183,65.468,0.0
8.8.8.8,2025-04-04_14-17-09,63.121,68.145,76.147,0.0
