Destino,DataHora,Min,Média,Max,Perda (%)
google.com,2025-04-05_15-52-48,69.205,70.491,71.782,0.0
cloudflare.com,2025-04-05_15-52-48,17.787,19.831,22.779,0.0
github.com,2025-04-05_15-52-48,61.206,69.429,90.44,0.0
8.8.8.8,2025-04-05_15-52-48,62.14,64.04,65.658,0.0
